"Health Center Name","City","State","Total Patients","Children (< 18 years old)","Adult (18 - 64)","Older Adults (age 65 and over)","Racial and/or Ethnic Minority","Hispanic/Latino Ethnicity","Black/African American","Asian","American Indian/Alaska Native","Native Hawaiian / Other Pacific Islander","More than one race","Best Served in another language","year","category","Patients at or below 200% of poverty","Patients at or below 100% of poverty","Uninsured","Medicaid/CHIP","Medicare","Other Third Party","Hypertension","Diabetes","Asthma","HIV","Prenatal Patients","Prenatal Patients who Delivered","Access to Prenatal Care (First Prenatal Visit in 1st Trimester)","Low Birth Weight","Cervical Cancer Screening","Adolescent Weight Screening and Follow Up","Adult Weight Screening and Follow Up","Adults Screened for Tobacco Use and Receiving Cessation Intervention","Colorectal Cancer Screening","Childhood Immunization","Depression Screening","Dental Sealants","Asthma Treatment (Appropriate Treatment Plan)","Statin Therapy for the Prevention and Treatment of Cardiovascular Disease","Heart Attack/Stroke Treatment (Aspirin Therapy for Ischemic Vascular Disease Patients)","Blood Pressure Control (Hypertensive Patients with Blood Pressure < 140/90)","Uncontrolled Diabetes > 9%","HIV Linkage to Care","Breast Cancer Screening","Depression Remission","HIV Screening","Health Center Service Grant Expenditures","Total Cost","Total Cost Per Patient","Medical","Dental","Mental Health","Substance Abuse","Vision","Enabling"
"OPEN DOOR HEALTH CENTER","MANKATO","MN","10845","0.303734439834025","0.614845550945136","0.081420009220839","0.382001195933825","0.253974523550904","0.084870052841583","0.029655990510083","0.023293432546102","0.005176318343578","0.005823358136525","0.145965882895343","2019","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAWTOOTH MOUNTAIN CLINIC, INC","GRAND MARAIS","MN","4732","0.166314454775993","0.512045646661031","0.321639898562975","0.135478222805866","0.019310045563029","0.008575197889182","0.004837291116974","0.08509234828496","0.000219876868953","0.021547933157432","0.018808114961961","2019","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOUTHSIDE COMMUNITY HEALTH SERVICES","MINNEAPOLIS","MN","10181","0.293487869560947","0.635006384441607","0.071505745997446","0.808278636459877","0.62037422037422","0.170386632516161","0.018538846200756","0.063422368581534","0.002439321868521","0.015001829491401","0.536980650230822","2019","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNITED FAMILY PRACTICE HEALTH CENTER, INC.","SAINT PAUL","MN","15356","0.214769471216463","0.642940870018234","0.142289658765303","0.520938825783495","0.173586660466352","0.302932283243091","0.045918008578862","0.009703958933971","0.002320511918993","0","0.136754363115395","2019","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNIVERSITY OF MINNESOTA","MINNEAPOLIS","MN","11145","0.271870794078062","0.630058322117542","0.098070883804397","0.801632498101746","0.263380930446799","0.412565026010404","0.104141656662665","0.045918367346939","0.005302120848339","0.011604641856743","0.439389860924181","2019","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WEST SIDE COMMUNITY HEALTH SERVICES","SAINT PAUL","MN","38128","0.306651279899287","0.625944187998321","0.067404532102392","0.863648871766648","0.53026297860744","0.164297353486543","0.163538798673934","0.007754115862224","0.001994718210934","0.01222116086981","0.536561057490558","2019","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CEDAR RIVERSIDE PEOPLES CENTER","MINNEAPOLIS","MN","11610","0.155555555555556","0.755124892334195","0.08931955211025","0.696382054992764","0.047190802892639","0.613817537643933","0.032870780434997","0.011219368172424","-","0.003739789390808","0.324203273040482","2020","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMMUNITY HEALTH SERVICES, INC.","MOORHEAD","MN","2943","0.232415902140673","0.699286442405708","0.068297655453619","0.82515767344078494","0.721157197629836","0.055607043558851","0.017608897126969","0.024559777571826","0","0.044949026876738","0.530071355759429","2020","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COOK AREA HEALTH SERVICES, INC.","COOK","MN","13020","0.156835637480799","0.560061443932412","0.28310291858679","0.056080489938758","0.006577808551151","0.007969872131722","0.002977754422841","0.029339639166229","0","0.010246978455071","0.125268817204301","2020","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HENNEPIN CO COMMUNITY HEALTH DEPARTMENT","MINNEAPOLIS","MN","3686","0.071893651654911","0.886055344546934","0.042051003798155","0.734283319362951","0.062019758507135","0.516129032258065","0.012903225806452","0.152785923753666","-","0.034017595307918","0.029571351058058","2020","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HENNEPIN COUNTY, DEPARTMENT OF PRIMARY CARE","MINNEAPOLIS","MN","21213","0.292273605807759","0.617121576391835","0.090604817800405","0.930925127595263","0.294138050641693","0.510985187394373","0.121234715180435","0.006660701859032","-","-","0.33771743742045","2020","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INDIAN HEALTH BOARD OF MINNEAPOLIS, INC.","MINNEAPOLIS","MN","3760","0.268351063829787","0.670212765957447","0.061436170212766","0.901612903225806","0.239124633039765","0.122603294625979","0.019443694301917","0.521469079125034","0","0.047529030515798","0.180053191489362","2020","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAKE SUPERIOR COMMUNITY HEALTH CENTER","DULUTH","MN","8630","0.177752027809965","0.698609501738123","0.123638470451912","0.160392992424242","0.024458096673235","0.054025172168131","0.011398717644265","0.03657088577535","-","0.041439088102589","0.034530706836617","2020","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NATIVE AMERICAN COMMUNITY CLINIC","MINNEAPOLIS","MN","3654","0.204980842911877","0.723316912972085","0.071702244116037","0.887545684565645","0.124091671324762","0.113185866130422","0.012065498419994","0.62482045389256","0.00746911806952","0.11864406779661","0.045155993431856","2020","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEIGHBORHOOD HEALTHSOURCE","MINNEAPOLIS","MN","7733","0.232510021983706","0.704383809646968","0.063106168369326","0.701012698923003","0.291478423430441","0.382230623818526","0.041965973534972","0.037618147448015","-","0.049716446124764","0.206646838225786","2020","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OPEN CITIES HEALTH CENTER","SAINT PAUL","MN","6005","0.122564529558701","0.724229808492923","0.153205661948376","0.76081233546446","0.086076880632702","0.57747027869811","0.103098811147924","0.006236601052426","0.004092769440655","0.017150652894173","0.246461282264779","2020","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OPEN DOOR HEALTH CENTER","MANKATO","MN","6993","0.281996281996282","0.635492635492635","0.082511082511083","0.3790820165538","0.245450637627167","0.089719939627704","0.026496729833976","0.020459500251551","0.005869528760691","0.006037229582425","0.143000143000143","2020","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAWTOOTH MOUNTAIN CLINIC, INC","GRAND MARAIS","MN","4005","0.144569288389513","0.510112359550562","0.345318352059925","0.134162134162134","0.020324157447903","0.006503642039542","0.004162330905307","0.085327783558793","-","0.020811654526535","0.029712858926342","2020","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOUTHSIDE COMMUNITY HEALTH SERVICES","MINNEAPOLIS","MN","8084","0.259524987629886","0.682211776348342","0.058263236021771","0.809773828756058","0.616891712999735","0.168422659948084","0.016949152542373","0.134982440067186","-","0.01969766376546","0.515586343394359","2020","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNITED FAMILY PRACTICE HEALTH CENTER, INC.","SAINT PAUL","MN","14935","0.190090391697355","0.663742885838634","0.146166722464011","0.484559236384054","0.170275658211315","0.273827643690657","0.043922591867797","0.00905994056679","0.001956947162427","0","0.128557080682959","2020","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNIVERSITY OF MINNESOTA","MINNEAPOLIS","MN","10240","0.2349609375","0.65673828125","0.10830078125","0.784806136387517","0.257821257515541","0.410139782560462","0.100732194364322","0.043709784779232","0.003217217661416","0.00743288218327","0.4083984375","2020","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WEST SIDE COMMUNITY HEALTH SERVICES","SAINT PAUL","MN","31287","0.257934605427174","0.67520056253396","0.066864832038866","0.864074364125438","0.53999465847633","0.163115563708198","0.159834908988288","0.008254550585579","0.0031748271483","0.000811344715677","0.550548150989229","2020","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CEDAR RIVERSIDE PEOPLES CENTER","MINNEAPOLIS","MN","7249","0.233549455097255","0.637743136984412","0.128707407918334","0.778567285382831","0.039796782387807","0.712734741784038","0.022007042253521","0.008802816901408","-","0.004401408450704","0.436749896537453","2021","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COMMUNITY HEALTH SERVICES, INC.","MOORHEAD","MN","4133","0.149528187757077","0.739414468908783","0.11105734333414","0.798469387755102","0.691919191919192","0.033719704952582","0.073410607657183","0.012293642430629","0","0.02915349490692","0.558674086619889","2021","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COOK AREA HEALTH SERVICES, INC.","COOK","MN","14525","0.165851979345955","0.535146299483649","0.299001721170396","0.057554505259948","0.008607021517554","0.007096528042732","0.003128576879054","0.028996566196108","0","0.011369706219","0.150223752151463","2021","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HENNEPIN CO COMMUNITY HEALTH DEPARTMENT","MINNEAPOLIS","MN","3791","0.071485096280665","0.885782115536798","0.042732788182538","0.752263374485597","0.068489514202283","0.502172024326672","0.014480162177816","0.198667825079641","-","0.017086591369823","0.036138222104986","2021","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HENNEPIN COUNTY, DEPARTMENT OF PRIMARY CARE","MINNEAPOLIS","MN","21227","0.284496160550243","0.609035662128421","0.106468177321336","0.933151221523554","0.300639109370168","0.504185949768603","0.127450470594353","0.006291924496906","-","-","0.344890940782965","2021","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"INDIAN HEALTH BOARD OF MINNEAPOLIS, INC.","MINNEAPOLIS","MN","3898","0.286813750641355","0.635967162647512","0.077219086711134","0.910382231404959","0.287294238683128","0.123863931446378","0.016359387172163","0.475201246429499","0","0.074266424305375","0.199332991277578","2021","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAKE SUPERIOR COMMUNITY HEALTH CENTER","DULUTH","MN","11335","0.198853109836789","0.675782973092192","0.125363917071019","0.171795800144823","0.032995147772386","0.053004818619875","0.010819165378671","0.038639876352396","-","0.044185835075916","0.043052492280547","2021","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NATIVE AMERICAN COMMUNITY CLINIC","MINNEAPOLIS","MN","3431","0.21859516176042","0.688720489653162","0.092684348586418","0.900630441308916","0.129994036970781","0.087515299877601","0.012239902080783","0.651774785801714","-","0.133414932680539","0.048965316234334","2021","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEIGHBORHOOD HEALTHSOURCE","MINNEAPOLIS","MN","7751","0.24319442652561","0.670107082957038","0.086698490517353","0.691022330244569","0.313611235619304","0.371449380917698","0.037327021121632","0.030043699927167","-","0.043153678077203","0.329763901432073","2021","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OPEN CITIES HEALTH CENTER","SAINT PAUL","MN","5563","0.158188028042423","0.687039367247888","0.154772604709689","0.77670501232539","0.1070637955323","0.586020341917334","0.09911274615884","0.009521748539277","-","0.018610690326769","0.238720115045839","2021","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OPEN DOOR HEALTH CENTER","MANKATO","MN","7120","0.303651685393258","0.609550561797753","0.086797752808989","0.427959846471804","0.279237288135593","0.098072659048269","0.029848200579908","0.022343510148388","0.005799078969811","0.020467337540508","0.151404494382022","2021","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAWTOOTH MOUNTAIN CLINIC, INC","GRAND MARAIS","MN","4175","0.152814371257485","0.487664670658683","0.359520958083832","0.138018200202224","0.020346646571213","0.007366014732029","0.006604013208026","0.086614173228347","0","0.021590043180086","0.03497005988024","2021","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOUTHSIDE COMMUNITY HEALTH SERVICES","MINNEAPOLIS","MN","9028","0.289875941515286","0.644107221976074","0.06601683650864","0.82186864457471","0.635969537199766","0.169709837225761","0.017975937721161","0.074593064401982","0.002547770700637","0.020523708421798","0.544860434204697","2021","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNITED FAMILY PRACTICE HEALTH CENTER, INC.","SAINT PAUL","MN","10589","0.213523467749551","0.663896496364151","0.122580035886297","0.597074468085106","0.213549484639247","0.337937680693864","0.056965413855873","0.010172395331406","0.002462790448656","-","0.21371234299745","2021","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UNIVERSITY OF MINNESOTA","MINNEAPOLIS","MN","10633","0.284209536349102","0.616100818207467","0.099689645443431","0.810358486829075","0.279868433781561","0.408238928939238","0.098352214212152","0.042121524201854","0.002574665293512","0.01091658084449","0.43543684755008","2021","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WEST SIDE COMMUNITY HEALTH SERVICES, INC. DBA MINNESOTA COMMUNITY CARE","SAINT PAUL","MN","33595","0.278344991814258","0.649620479237982","0.07203452894776","0.880031974420464","0.560093644215255","0.167860122358176","0.170154338153504","0.009281145717464","0.00351084538376","0.010428253615128","0.578091977972913","2021","Age and Race-Ethnicity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
